district_name,,available_electric_bikes,available_mechanical_bikes,available_bikes,available_docks,status,last_update
Clichy,std,3.235240013447374,4.986758778870904,6.830748679547698,11.87890399938268,0.0,
Colombes,count,1535.0,1535.0,1535.0,1535.0,1535.0,1535
Colombes,mean,5.9700325732899024,6.371335504885994,12.341368078175895,10.654723127035831,1.0,2023-05-31 14:28:25.046254080
Colombes,min,0.0,0.0,1.0,1.0,1.0,2023-05-28 10:50:33
Colombes,25%,3.0,3.0,7.0,7.0,1.0,2023-05-29 13:20:33
Colombes,50%,6.0,5.0,11.0,10.0,1.0,2023-05-31 09:12:49
Colombes,75%,9.0,9.0,17.0,14.0,1.0,2023-06-02 21:08:18.500000
Colombes,max,18.0,19.0,27.0,24.0,1.0,2023-06-03 21:35:37
Colombes,std,3.5138598272425927,4.687658820410012,6.319457501050646,5.169676607906128,0.0,
Courbevoie,count,2149.0,2149.0,2149.0,2149.0,2149.0,2149
Courbevoie,mean,4.006049325267567,2.4848766868310843,6.490926012098651,23.75709632387157,1.0,2023-05-31 14:28:25.116798464
Courbevoie,min,0.0,0.0,0.0,1.0,1.0,2023-05-28 10:50:33
Courbevoie,25%,1.0,0.0,3.0,17.0,1.0,2023-05-29 13:20:33
Courbevoie,50%,3.0,2.0,6.0,25.0,1.0,2023-05-31 09:12:49
Courbevoie,75%,6.0,4.0,9.0,30.0,1.0,2023-06-02 21:08:18
Courbevoie,max,21.0,13.0,27.0,40.0,1.0,2023-06-03 21:35:37
Courbevoie,std,3.5272892878382507,2.484473057702898,4.975502045414848,8.39740372556321,0.0,
Fontenay-aux-Roses,count,1228.0,1228.0,1228.0,1228.0,1228.0,1228
Fontenay-aux-Roses,mean,2.596091205211726,1.7776872964169381,4.3737785016286646,25.320032573289904,1.0,2023-05-31 14:28:25.206026240
Fontenay-aux-Roses,min,0.0,0.0,0.0,8.0,1.0,2023-05-28 10:50:33
Fontenay-aux-Roses,25%,1.0,0.0,2.0,19.0,1.0,2023-05-29 13:20:33
Fontenay-aux-Roses,50%,2.0,1.0,3.0,25.0,1.0,2023-05-31 09:12:49
Fontenay-aux-Roses,75%,4.0,3.0,7.0,32.0,1.0,2023-06-02 21:08:19
Fontenay-aux-Roses,max,11.0,9.0,17.0,35.0,1.0,2023-06-03 21:35:37
Fontenay-aux-Roses,std,2.4527584122117787,2.090906424392997,3.51170306388883,6.672036989297211,0.0,
Fontenay-sous-Bois,count,3377.0,3377.0,3377.0,3377.0,3377.0,3377
Fontenay-sous-Bois,mean,5.166123778501628,3.279538051525022,8.445661830026651,20.603494225644063,1.0,2023-05-31 14:28:24.941072128
Fontenay-sous-Bois,min,0.0,0.0,0.0,1.0,1.0,2023-05-28 10:50:33
Fontenay-sous-Bois,25%,1.0,0.0,3.0,13.0,1.0,2023-05-29 13:20:33
Fontenay-sous-Bois,50%,3.0,1.0,6.0,18.0,1.0,2023-05-31 09:12:49
Fontenay-sous-Bois,75%,8.0,5.0,13.0,27.0,1.0,2023-06-02 21:08:19
Fontenay-sous-Bois,max,36.0,22.0,44.0,57.0,1.0,2023-06-03 21:35:37
Fontenay-sous-Bois,std,5.1568354237608665,4.197371246263244,7.869873998314794,12.211602928387798,0.0,
Gennevilliers,count,1535.0,1535.0,1535.0,1535.0,1535.0,1535
Gennevilliers,mean,4.90814332247557,8.350488599348534,13.258631921824104,15.10228013029316,1.0,2023-05-31 14:28:25.216286976
Gennevilliers,min,0.0,0.0,3.0,0.0,1.0,2023-05-28 10:50:33
Gennevilliers,25%,1.0,5.0,8.0,8.0,1.0,2023-05-29 13:20:33
Gennevilliers,50%,3.0,8.0,12.0,13.0,1.0,2023-05-31 09:12:49
Gennevilliers,75%,8.0,11.0,18.0,22.0,1.0,2023-06-02 21:08:19
Gennevilliers,max,23.0,20.0,35.0,38.0,1.0,2023-06-03 21:35:37
