,,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,status,status,status,status,status,status,status,status
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
station_id,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Les Halles - Saint-Eustache,252.0,8.468253968253968,5.40500949273154,0.0,4.0,8.0,12.0,22.0,252.0,11.813492063492063,5.425421248625434,2.0,7.0,12.0,16.0,26.0,252.0,20.28174603174603,7.111237958735531,5.0,14.0,21.0,26.25,31.0,252.0,10.297619047619047,6.915159907012712,0.0,4.0,10.0,16.0,25.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10105,Mazagran - Bonne Nouvelle,252.0,3.0714285714285716,2.990499089390026,0.0,1.0,2.0,4.0,15.0,252.0,4.146825396825397,3.1201487988814245,0.0,2.0,4.0,6.0,15.0,252.0,7.218253968253968,4.4734702839583385,0.0,4.0,6.0,10.0,21.0,252.0,17.623015873015873,4.460176379740208,4.0,15.0,18.0,21.0,25.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10107,Gare du Nord - Hôpital Lariboisière,252.0,1.7738095238095237,1.8789112118618938,0.0,0.0,1.0,3.0,9.0,252.0,1.0912698412698412,1.4350490276489336,0.0,0.0,1.0,2.0,7.0,252.0,2.865079365079365,2.9668908017540288,0.0,1.0,2.0,4.0,15.0,252.0,45.6468253968254,2.988402190246014,34.0,44.0,46.0,48.0,49.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10110,Louis Blanc - Jemmapes,252.0,1.9722222222222223,1.8817699089583662,0.0,1.0,2.0,2.0,13.0,252.0,1.0634920634920635,1.3552085254111705,0.0,0.0,1.0,1.25,7.0,252.0,3.0357142857142856,2.8246768114877954,0.0,2.0,2.0,3.0,20.0,252.0,27.26984126984127,2.8492333446025784,10.0,27.0,28.0,29.0,31.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10113,Parmentier - Hôpital Saint-Louis,252.0,1.6468253968253967,1.9714773520058384,0.0,0.0,1.0,2.0,12.0,252.0,1.8888888888888888,2.0461691822199084,0.0,0.0,1.0,3.0,11.0,252.0,3.5357142857142856,3.3924444825884046,0.0,1.0,3.0,5.0,19.0,252.0,38.97222222222222,3.4588103080731805,24.0,37.0,40.0,41.0,43.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10114,Granges aux Belles - Hôpital Saint-Louis,252.0,3.1984126984126986,2.0705479432210097,0.0,2.0,3.0,4.0,9.0,252.0,3.261904761904762,4.2729177197202315,0.0,1.0,2.0,4.0,22.0,252.0,6.4603174603174605,4.823829946938922,1.0,3.0,5.0,8.0,26.0,252.0,51.32539682539682,5.131465879549228,32.0,49.0,53.0,55.0,59.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10115,Granges aux Belles,252.0,2.8531746031746033,3.09192977319672,0.0,1.0,2.0,4.0,13.0,252.0,1.3095238095238095,1.7536043051931085,0.0,0.0,1.0,2.0,7.0,252.0,4.162698412698413,4.507775206359915,0.0,1.0,2.0,5.25,19.0,252.0,19.27777777777778,4.305354562702113,6.0,18.0,21.0,22.0,25.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1012,Jean-Jacques Rousseau - Deux Ecus,252.0,3.6825396825396823,3.018273149863008,0.0,1.0,3.0,6.0,11.0,252.0,10.841269841269842,4.699601913144882,0.0,8.0,12.0,14.0,19.0,252.0,14.523809523809524,5.101697687461652,0.0,12.0,16.0,18.0,21.0,252.0,6.416666666666667,4.671371655885491,1.0,3.0,5.0,8.0,20.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1013,Place du Palais Royal,252.0,18.33730158730159,11.98743189206304,0.0,7.0,18.0,28.0,40.0,252.0,27.146825396825395,10.586311438916903,2.0,20.0,28.0,33.25,52.0,252.0,45.48412698412698,18.194493334001415,7.0,29.0,49.0,64.0,67.0,252.0,19.952380952380953,17.750083168137863,0.0,3.0,15.5,35.0,59.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1014,Rivoli - Musée du Louvre,252.0,6.138888888888889,4.465065321164573,0.0,2.0,6.0,11.0,16.0,252.0,9.46031746031746,4.663413235644805,0.0,6.0,10.0,12.0,21.0,252.0,15.59920634920635,7.024861893772224,0.0,9.0,19.0,22.0,24.0,252.0,6.964285714285714,7.090951130418145,0.0,1.0,4.0,13.0,23.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
